shippingDate,title,company,salary,province,workingHours,typeOfCooperation,facility,tagList
2025-05-02,مهندس داده,دیبا پارسیان,35 - 45 میلیون تومان,تهران ، جردن,شنبه تا چهارشنبه از ساعت 8 صبح الی 17 عصر,تمام وقت,,"['کارشناسی ارشد\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nبالاتر از متوسط ۷۰٪', 'Python\n|\nمتوسط', 'GIT\n|\nمتوسط', 'Rest API\n|\nمتوسط', 'Kafka\n|\nپیشرفته', 'Sql Server\n|\nپیشرفته', 'MongoDB\n|\nمتوسط', 'Cassandra\n|\nمتوسط']"
2025-04-30,متخصص هوش مصنوعی,موسسه زبان ایران کانادا,30 - 40 میلیون تومان,تهران ، یوسف اباد,توافقی,قراردادی / پروژه ای,,"['Flutter\n|\nمتوسط', 'React Native\n|\nمتوسط', 'Python\n|\nمقدماتی', 'Node.js\n|\nمقدماتی']"
2025-04-12,مهندس ارشد هوش مصنوعی,نوآوران داده سلامت پیشرو,50 - 70 میلیون تومان,تهران ، گاندی,شنبه تا چهارشنبه 8:30 الی 17:30,تمام وقت یا پاره وقت,,"['کارشناسی ارشد\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nپیشرفته ۹۰٪', 'Python\n|\nپیشرفته']"
2025-04-06,متخصص هوش مصنوعی,بیمه دات کام,an argumant,تهران ، شهرک غرب (شهرک قدس),شنبه تا چهارشنبه 8 تا 17 (یک ساعت شناوری),تمام وقت,امکان دورکاری,[]
2025-04-05,دستیار هوش مصنوعی,مهندسی بنا برج ظفر,30 - 40 میلیون تومان,تهران ، پاسداران,8:30 تا 16:30,تمام وقت یا پاره وقت,,"['Python\n|\nمتوسط', 'JavaScript\n|\nمتوسط']"
2025-04-29,مهندس هوش مصنوعی,گروه ایبکو,an argumant,کرمان,شنبه تا پنجشنبه,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'Python\n|\nپیشرفته', 'OpenCV\n|\nمقدماتی', 'RabbitMQ\n|\nمقدماتی', 'GIT\n|\nمتوسط']"
2025-04-26,Data Engineer,روماک,an argumant,تهران ، ونک,شنبه تا چهارشنبه ساعت :08:00تا16:30 پنج شنبه :08:00تا13:00,تمام وقت,,"['کارشناسی ارشد\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nبالاتر از متوسط ۷۰٪', 'MongoDB\n|\nمتوسط', 'Python\n|\nپیشرفته', 'Rest API\n|\nپیشرفته', 'Selenium\n|\nمتوسط', 'Kafka\n|\nمتوسط', 'Elastic Search\n|\nمتوسط', 'Docker\n|\nمتوسط', 'Hadoop\n|\nمتوسط', 'Spark\n|\nمتوسط', 'Microsoft Azure Devops / TFS\n|\nمقدماتی', 'MySql\n|\nمقدماتی', 'Redis\n|\nمقدماتی', 'Sql Server\n|\nمقدماتی', 'GIT\n|\nمقدماتی']"
2025-04-16,متخصص هوش مصنوعی,توسعه پیشگامان امن,35 - 50 میلیون تومان,تهران ، عباس آباد (بهشتی),شنبه تا چهارشنبه,تمام وقت,,"['کارشناسی ارشد\n|\nکامپیوتر / فناوری اطلاعات', 'انگلیسی\n|\nمتوسط ۵۰٪', 'Python\n|\nپیشرفته', 'GIT\n|\nمتوسط', 'Rest API\n|\nمتوسط', 'Unit Testing\n|\nمتوسط', 'Dependency Injection\n|\nمتوسط', 'Keras\n|\nمتوسط', 'Docker\n|\nمتوسط']"
2025-04-26,AI Software Engineer,صنایع تولیدی کروز,an argumant,تهران ، جاده مخصوص,Saturday to Wednesday 7:00 - 16:00 (Floating Time: 2 Hours),Full Time,,"['Bachelor\n|\nElectrical Engineering', 'Bachelor\n|\nComputer and IT', 'English\n|\nIntermediate - 50%', 'C++\n|\nIntermediate', 'GIT\n|\nBasic', 'MATLAB\n|\nIntermediate', 'Python\n|\nAdvanced']"
2025-04-28,مهندس داده,وصال گشت رُهام,an argumant,تهران ، فلسطین,شنبه تا چهارشنبه 8:15 تا 17:00,تمام وقت,,"['کارشناسی\n|\nکامپیوتر / فناوری اطلاعات', 'کارشناسی\n|\nریاضی و آمار', 'انگلیسی\n|\nمتوسط ۵۰٪', 'SQL/DS\n|\nمتوسط', 'Hadoop\n|\nمتوسط', 'Kafka\n|\nمتوسط', 'Python\n|\nمتوسط', 'Java\n|\nمتوسط', 'Sql Server\n|\nمتوسط']"
